subject_number,acc,prec,rec,f1
15,0.8473026908716365,0.7420081044574516,0.7288810260946483,0.7353859883980366
15,0.924459066177401,0.999138302455838,0.7958133150308854,0.8859598853868196
15,0.9203071887196274,0.8270317253368101,0.8900841908325537,0.8574003153863482
15,0.7865292602134707,0.39427595044852626,0.7413654618473896,0.5147796988287786
15,0.8186874304783093,0.649724692926726,0.7056117755289788,0.67651598676957
15,0.8220433436532508,0.6579060749676864,0.7036866359447005,0.6800267201068805
15,0.7871659071314201,0.39000409668168784,0.799328295549958,0.5242290748898678
15,0.8378143972246314,0.5958991883810337,0.7935153583617748,0.6806538180043914
15,0.8473364318913121,0.5967681322810974,0.8841870824053452,0.712586941889163
15,0.988163514338011,0.9995969367190649,0.9627329192546584,0.9808186671939886
15,0.8666178087211432,0.5651634257343815,0.9708599857853589,0.7144351464435146
15,0.7802466121352705,0.6672084518488419,0.6260007624857034,0.6459480723839496
15,0.5942787583688375,0.46467065868263474,0.3688212927756654,0.4112347641759406
15,0.8174360230194686,0.9237668161434978,0.6347338935574229,0.7524489457081188
15,0.7052581375938953,0.4346023369770072,0.5425882352941176,0.482628714943491
